,target,format,size,image_file,mask_file,URL
COVID-1028,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1028.png,../data/COVID/masks/COVID-1028.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1029,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1029.png,../data/COVID/masks/COVID-1029.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-103,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-103.png,../data/COVID/masks/COVID-103.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1030,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1030.png,../data/COVID/masks/COVID-1030.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1031,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1031.png,../data/COVID/masks/COVID-1031.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1032,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1032.png,../data/COVID/masks/COVID-1032.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1033,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1033.png,../data/COVID/masks/COVID-1033.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1034,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1034.png,../data/COVID/masks/COVID-1034.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1035,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1035.png,../data/COVID/masks/COVID-1035.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1036,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1036.png,../data/COVID/masks/COVID-1036.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1037,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1037.png,../data/COVID/masks/COVID-1037.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1038,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1038.png,../data/COVID/masks/COVID-1038.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1039,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1039.png,../data/COVID/masks/COVID-1039.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-104,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-104.png,../data/COVID/masks/COVID-104.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1040,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1040.png,../data/COVID/masks/COVID-1040.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1041,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1041.png,../data/COVID/masks/COVID-1041.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1042,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1042.png,../data/COVID/masks/COVID-1042.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1043,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1043.png,../data/COVID/masks/COVID-1043.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1044,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1044.png,../data/COVID/masks/COVID-1044.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1045,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1045.png,../data/COVID/masks/COVID-1045.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1046,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1046.png,../data/COVID/masks/COVID-1046.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1047,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1047.png,../data/COVID/masks/COVID-1047.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1048,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1048.png,../data/COVID/masks/COVID-1048.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1049,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1049.png,../data/COVID/masks/COVID-1049.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-105,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-105.png,../data/COVID/masks/COVID-105.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1050,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1050.png,../data/COVID/masks/COVID-1050.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1051,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1051.png,../data/COVID/masks/COVID-1051.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1052,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1052.png,../data/COVID/masks/COVID-1052.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1053,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1053.png,../data/COVID/masks/COVID-1053.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1054,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1054.png,../data/COVID/masks/COVID-1054.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1055,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1055.png,../data/COVID/masks/COVID-1055.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1056,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1056.png,../data/COVID/masks/COVID-1056.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1057,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1057.png,../data/COVID/masks/COVID-1057.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1058,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1058.png,../data/COVID/masks/COVID-1058.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1059,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1059.png,../data/COVID/masks/COVID-1059.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-106,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-106.png,../data/COVID/masks/COVID-106.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1060,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1060.png,../data/COVID/masks/COVID-1060.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1061,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1061.png,../data/COVID/masks/COVID-1061.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1062,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1062.png,../data/COVID/masks/COVID-1062.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1063,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1063.png,../data/COVID/masks/COVID-1063.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1064,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1064.png,../data/COVID/masks/COVID-1064.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1065,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1065.png,../data/COVID/masks/COVID-1065.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1066,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1066.png,../data/COVID/masks/COVID-1066.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1067,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1067.png,../data/COVID/masks/COVID-1067.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1068,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1068.png,../data/COVID/masks/COVID-1068.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1069,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1069.png,../data/COVID/masks/COVID-1069.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-107,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-107.png,../data/COVID/masks/COVID-107.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1070,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1070.png,../data/COVID/masks/COVID-1070.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1071,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1071.png,../data/COVID/masks/COVID-1071.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1072,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1072.png,../data/COVID/masks/COVID-1072.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1073,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1073.png,../data/COVID/masks/COVID-1073.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1074,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1074.png,../data/COVID/masks/COVID-1074.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1075,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1075.png,../data/COVID/masks/COVID-1075.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1076,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1076.png,../data/COVID/masks/COVID-1076.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1077,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1077.png,../data/COVID/masks/COVID-1077.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1078,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1078.png,../data/COVID/masks/COVID-1078.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1079,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1079.png,../data/COVID/masks/COVID-1079.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-108,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-108.png,../data/COVID/masks/COVID-108.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1080,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1080.png,../data/COVID/masks/COVID-1080.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1081,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1081.png,../data/COVID/masks/COVID-1081.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1082,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1082.png,../data/COVID/masks/COVID-1082.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1083,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1083.png,../data/COVID/masks/COVID-1083.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1084,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1084.png,../data/COVID/masks/COVID-1084.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1085,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1085.png,../data/COVID/masks/COVID-1085.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1086,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1086.png,../data/COVID/masks/COVID-1086.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1087,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1087.png,../data/COVID/masks/COVID-1087.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1088,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1088.png,../data/COVID/masks/COVID-1088.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1089,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1089.png,../data/COVID/masks/COVID-1089.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-109,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-109.png,../data/COVID/masks/COVID-109.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1090,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1090.png,../data/COVID/masks/COVID-1090.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1091,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1091.png,../data/COVID/masks/COVID-1091.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1092,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1092.png,../data/COVID/masks/COVID-1092.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1093,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1093.png,../data/COVID/masks/COVID-1093.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1094,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1094.png,../data/COVID/masks/COVID-1094.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1095,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1095.png,../data/COVID/masks/COVID-1095.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1096,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1096.png,../data/COVID/masks/COVID-1096.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1097,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1097.png,../data/COVID/masks/COVID-1097.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1098,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1098.png,../data/COVID/masks/COVID-1098.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1099,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1099.png,../data/COVID/masks/COVID-1099.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-11,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-11.png,../data/COVID/masks/COVID-11.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-110,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-110.png,../data/COVID/masks/COVID-110.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1100,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1100.png,../data/COVID/masks/COVID-1100.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1101,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1101.png,../data/COVID/masks/COVID-1101.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1102,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1102.png,../data/COVID/masks/COVID-1102.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1103,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1103.png,../data/COVID/masks/COVID-1103.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1104,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1104.png,../data/COVID/masks/COVID-1104.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1105,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1105.png,../data/COVID/masks/COVID-1105.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1106,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1106.png,../data/COVID/masks/COVID-1106.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1107,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1107.png,../data/COVID/masks/COVID-1107.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1108,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1108.png,../data/COVID/masks/COVID-1108.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1109,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1109.png,../data/COVID/masks/COVID-1109.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-111,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-111.png,../data/COVID/masks/COVID-111.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1110,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1110.png,../data/COVID/masks/COVID-1110.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1111,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1111.png,../data/COVID/masks/COVID-1111.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1112,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1112.png,../data/COVID/masks/COVID-1112.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1113,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1113.png,../data/COVID/masks/COVID-1113.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1114,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1114.png,../data/COVID/masks/COVID-1114.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1115,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1115.png,../data/COVID/masks/COVID-1115.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1116,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1116.png,../data/COVID/masks/COVID-1116.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1117,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1117.png,../data/COVID/masks/COVID-1117.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1118,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1118.png,../data/COVID/masks/COVID-1118.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1119,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1119.png,../data/COVID/masks/COVID-1119.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-112,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-112.png,../data/COVID/masks/COVID-112.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1120,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1120.png,../data/COVID/masks/COVID-1120.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1121,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1121.png,../data/COVID/masks/COVID-1121.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1122,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1122.png,../data/COVID/masks/COVID-1122.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1123,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1123.png,../data/COVID/masks/COVID-1123.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1124,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1124.png,../data/COVID/masks/COVID-1124.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1125,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1125.png,../data/COVID/masks/COVID-1125.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1126,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1126.png,../data/COVID/masks/COVID-1126.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1127,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1127.png,../data/COVID/masks/COVID-1127.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1128,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1128.png,../data/COVID/masks/COVID-1128.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1129,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1129.png,../data/COVID/masks/COVID-1129.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-113,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-113.png,../data/COVID/masks/COVID-113.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1130,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1130.png,../data/COVID/masks/COVID-1130.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1131,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1131.png,../data/COVID/masks/COVID-1131.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1132,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1132.png,../data/COVID/masks/COVID-1132.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1133,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1133.png,../data/COVID/masks/COVID-1133.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1134,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1134.png,../data/COVID/masks/COVID-1134.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1135,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1135.png,../data/COVID/masks/COVID-1135.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1136,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1136.png,../data/COVID/masks/COVID-1136.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1137,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1137.png,../data/COVID/masks/COVID-1137.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1138,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1138.png,../data/COVID/masks/COVID-1138.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1139,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1139.png,../data/COVID/masks/COVID-1139.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-114,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-114.png,../data/COVID/masks/COVID-114.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1140,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1140.png,../data/COVID/masks/COVID-1140.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1141,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1141.png,../data/COVID/masks/COVID-1141.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1142,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1142.png,../data/COVID/masks/COVID-1142.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1143,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1143.png,../data/COVID/masks/COVID-1143.png,https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711
COVID-1144,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1144.png,../data/COVID/masks/COVID-1144.png,https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711
COVID-1145,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1145.png,../data/COVID/masks/COVID-1145.png,https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711
COVID-1146,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1146.png,../data/COVID/masks/COVID-1146.png,https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711
