old_index,image_path,mask_path,target,type,true,pred,covid_prob
2830,../data/COVID/images\COVID-3546.png,../data/COVID/masks\COVID-3546.png,COVID,COVID,1,1,0.99
2386,../data/COVID/images\COVID-3146.png,../data/COVID/masks\COVID-3146.png,COVID,COVID,1,1,1.0
995,../data/COVID/images\COVID-1895.png,../data/COVID/masks\COVID-1895.png,COVID,COVID,1,1,1.0
3582,../data/COVID/images\COVID-969.png,../data/COVID/masks\COVID-969.png,COVID,COVID,1,1,0.99
2904,../data/COVID/images\COVID-3612.png,../data/COVID/masks\COVID-3612.png,COVID,COVID,1,1,0.99
236,../data/COVID/images\COVID-1210.png,../data/COVID/masks\COVID-1210.png,COVID,COVID,1,1,0.89
13041,../data/Normal/images\Normal-3898.png,../data/Normal/masks\Normal-3898.png,Normal,Normal,0,1,0.69
1790,../data/COVID/images\COVID-261.png,../data/COVID/masks\COVID-261.png,COVID,COVID,1,1,0.99
1107,../data/COVID/images\COVID-1996.png,../data/COVID/masks\COVID-1996.png,COVID,COVID,1,1,1.0
6444,../data/Lung_Opacity/images\Lung_Opacity-3544.png,../data/Lung_Opacity/masks\Lung_Opacity-3544.png,Lung_Opacity,Lung_Opacity,0,0,0.0
704,../data/COVID/images\COVID-1632.png,../data/COVID/masks\COVID-1632.png,COVID,COVID,1,1,1.0
2314,../data/COVID/images\COVID-3081.png,../data/COVID/masks\COVID-3081.png,COVID,COVID,1,1,0.9
2527,../data/COVID/images\COVID-3273.png,../data/COVID/masks\COVID-3273.png,COVID,COVID,1,1,1.0
2919,../data/COVID/images\COVID-371.png,../data/COVID/masks\COVID-371.png,COVID,COVID,1,1,1.0
20112,../data/Viral Pneumonia/images\Viral Pneumonia-1261.png,../data/Viral Pneumonia/masks\Viral Pneumonia-1261.png,Viral Pneumonia,Viral Pneumonia,0,0,0.0
9044,../data/Lung_Opacity/images\Lung_Opacity-5885.png,../data/Lung_Opacity/masks\Lung_Opacity-5885.png,Lung_Opacity,Lung_Opacity,0,0,0.0
2045,../data/COVID/images\COVID-284.png,../data/COVID/masks\COVID-284.png,COVID,COVID,1,1,0.97
16337,../data/Normal/images\Normal-6864.png,../data/Normal/masks\Normal-6864.png,Normal,Normal,0,0,0.07
11224,../data/Normal/images\Normal-2261.png,../data/Normal/masks\Normal-2261.png,Normal,Normal,0,0,0.0
1716,../data/COVID/images\COVID-2543.png,../data/COVID/masks\COVID-2543.png,COVID,COVID,1,1,1.0
2027,../data/COVID/images\COVID-2823.png,../data/COVID/masks\COVID-2823.png,COVID,COVID,1,1,0.94
848,../data/COVID/images\COVID-1762.png,../data/COVID/masks\COVID-1762.png,COVID,COVID,1,1,1.0
2766,../data/COVID/images\COVID-3489.png,../data/COVID/masks\COVID-3489.png,COVID,COVID,1,1,1.0
18402,../data/Normal/images\Normal-8722.png,../data/Normal/masks\Normal-8722.png,Normal,Normal,0,0,0.05
2405,../data/COVID/images\COVID-3163.png,../data/COVID/masks\COVID-3163.png,COVID,COVID,1,1,0.99
2848,../data/COVID/images\COVID-3562.png,../data/COVID/masks\COVID-3562.png,COVID,COVID,1,1,0.92
17362,../data/Normal/images\Normal-7787.png,../data/Normal/masks\Normal-7787.png,Normal,Normal,0,0,0.0
18747,../data/Normal/images\Normal-9032.png,../data/Normal/masks\Normal-9032.png,Normal,Normal,0,0,0.03
1669,../data/COVID/images\COVID-2500.png,../data/COVID/masks\COVID-2500.png,COVID,COVID,1,1,0.71
8442,../data/Lung_Opacity/images\Lung_Opacity-5342.png,../data/Lung_Opacity/masks\Lung_Opacity-5342.png,Lung_Opacity,Lung_Opacity,0,0,0.0
327,../data/COVID/images\COVID-1293.png,../data/COVID/masks\COVID-1293.png,COVID,COVID,1,1,1.0
882,../data/COVID/images\COVID-1793.png,../data/COVID/masks\COVID-1793.png,COVID,COVID,1,1,1.0
3318,../data/COVID/images\COVID-730.png,../data/COVID/masks\COVID-730.png,COVID,COVID,1,1,1.0
4753,../data/Lung_Opacity/images\Lung_Opacity-2021.png,../data/Lung_Opacity/masks\Lung_Opacity-2021.png,Lung_Opacity,Lung_Opacity,0,0,0.0
2141,../data/COVID/images\COVID-2926.png,../data/COVID/masks\COVID-2926.png,COVID,COVID,1,1,0.99
948,../data/COVID/images\COVID-1852.png,../data/COVID/masks\COVID-1852.png,COVID,COVID,1,1,1.0
1688,../data/COVID/images\COVID-2518.png,../data/COVID/masks\COVID-2518.png,COVID,COVID,1,1,0.7
14626,../data/Normal/images\Normal-5323.png,../data/Normal/masks\Normal-5323.png,Normal,Normal,0,0,0.0
7655,../data/Lung_Opacity/images\Lung_Opacity-4634.png,../data/Lung_Opacity/masks\Lung_Opacity-4634.png,Lung_Opacity,Lung_Opacity,0,0,0.02
21102,../data/Viral Pneumonia/images\Viral Pneumonia-942.png,../data/Viral Pneumonia/masks\Viral Pneumonia-942.png,Viral Pneumonia,Viral Pneumonia,0,0,0.0
2093,../data/COVID/images\COVID-2883.png,../data/COVID/masks\COVID-2883.png,COVID,COVID,1,1,1.0
2970,../data/COVID/images\COVID-417.png,../data/COVID/masks\COVID-417.png,COVID,COVID,1,1,0.97
15093,../data/Normal/images\Normal-5744.png,../data/Normal/masks\Normal-5744.png,Normal,Normal,0,1,0.46
6266,../data/Lung_Opacity/images\Lung_Opacity-3384.png,../data/Lung_Opacity/masks\Lung_Opacity-3384.png,Lung_Opacity,Lung_Opacity,0,0,0.0
2174,../data/COVID/images\COVID-2956.png,../data/COVID/masks\COVID-2956.png,COVID,COVID,1,1,0.94
3551,../data/COVID/images\COVID-940.png,../data/COVID/masks\COVID-940.png,COVID,COVID,1,1,0.98
735,../data/COVID/images\COVID-1660.png,../data/COVID/masks\COVID-1660.png,COVID,COVID,1,1,1.0
12749,../data/Normal/images\Normal-3634.png,../data/Normal/masks\Normal-3634.png,Normal,Normal,0,0,0.02
1447,../data/COVID/images\COVID-2300.png,../data/COVID/masks\COVID-2300.png,COVID,COVID,1,1,0.92
3374,../data/COVID/images\COVID-781.png,../data/COVID/masks\COVID-781.png,COVID,COVID,1,1,0.88
3447,../data/COVID/images\COVID-847.png,../data/COVID/masks\COVID-847.png,COVID,COVID,1,1,1.0
1815,../data/COVID/images\COVID-2632.png,../data/COVID/masks\COVID-2632.png,COVID,COVID,1,1,0.99
16781,../data/Normal/images\Normal-7263.png,../data/Normal/masks\Normal-7263.png,Normal,Normal,0,0,0.0
2754,../data/COVID/images\COVID-3478.png,../data/COVID/masks\COVID-3478.png,COVID,COVID,1,1,1.0
18826,../data/Normal/images\Normal-9103.png,../data/Normal/masks\Normal-9103.png,Normal,Normal,0,1,0.84
11371,../data/Normal/images\Normal-2394.png,../data/Normal/masks\Normal-2394.png,Normal,Normal,0,0,0.04
3155,../data/COVID/images\COVID-584.png,../data/COVID/masks\COVID-584.png,COVID,COVID,1,0,0.02
78,../data/COVID/images\COVID-1069.png,../data/COVID/masks\COVID-1069.png,COVID,COVID,1,1,1.0
391,../data/COVID/images\COVID-1350.png,../data/COVID/masks\COVID-1350.png,COVID,COVID,1,1,1.0
13171,../data/Normal/images\Normal-4013.png,../data/Normal/masks\Normal-4013.png,Normal,Normal,0,0,0.0
2651,../data/COVID/images\COVID-3385.png,../data/COVID/masks\COVID-3385.png,COVID,COVID,1,1,1.0
348,../data/COVID/images\COVID-1311.png,../data/COVID/masks\COVID-1311.png,COVID,COVID,1,1,1.0
1701,../data/COVID/images\COVID-253.png,../data/COVID/masks\COVID-253.png,COVID,COVID,1,1,1.0
1842,../data/COVID/images\COVID-2657.png,../data/COVID/masks\COVID-2657.png,COVID,COVID,1,1,1.0
18564,../data/Normal/images\Normal-8869.png,../data/Normal/masks\Normal-8869.png,Normal,Normal,0,0,0.04
16286,../data/Normal/images\Normal-6818.png,../data/Normal/masks\Normal-6818.png,Normal,Normal,0,0,0.23
1325,../data/COVID/images\COVID-2191.png,../data/COVID/masks\COVID-2191.png,COVID,COVID,1,1,1.0
657,../data/COVID/images\COVID-1590.png,../data/COVID/masks\COVID-1590.png,COVID,COVID,1,1,0.99
4263,../data/Lung_Opacity/images\Lung_Opacity-1581.png,../data/Lung_Opacity/masks\Lung_Opacity-1581.png,Lung_Opacity,Lung_Opacity,0,0,0.0
9533,../data/Lung_Opacity/images\Lung_Opacity-913.png,../data/Lung_Opacity/masks\Lung_Opacity-913.png,Lung_Opacity,Lung_Opacity,0,0,0.01
5111,../data/Lung_Opacity/images\Lung_Opacity-2344.png,../data/Lung_Opacity/masks\Lung_Opacity-2344.png,Lung_Opacity,Lung_Opacity,0,0,0.0
17002,../data/Normal/images\Normal-7462.png,../data/Normal/masks\Normal-7462.png,Normal,Normal,0,0,0.0
18347,../data/Normal/images\Normal-8673.png,../data/Normal/masks\Normal-8673.png,Normal,Normal,0,1,0.86
3912,../data/Lung_Opacity/images\Lung_Opacity-1265.png,../data/Lung_Opacity/masks\Lung_Opacity-1265.png,Lung_Opacity,Lung_Opacity,0,0,0.01
16157,../data/Normal/images\Normal-6701.png,../data/Normal/masks\Normal-6701.png,Normal,Normal,0,0,0.0
2047,../data/COVID/images\COVID-2841.png,../data/COVID/masks\COVID-2841.png,COVID,COVID,1,1,1.0
10663,../data/Normal/images\Normal-1757.png,../data/Normal/masks\Normal-1757.png,Normal,Normal,0,0,0.01
1399,../data/COVID/images\COVID-2258.png,../data/COVID/masks\COVID-2258.png,COVID,COVID,1,1,1.0
1889,../data/COVID/images\COVID-27.png,../data/COVID/masks\COVID-27.png,COVID,COVID,1,1,0.76
1791,../data/COVID/images\COVID-2610.png,../data/COVID/masks\COVID-2610.png,COVID,COVID,1,1,1.0
1628,../data/COVID/images\COVID-2464.png,../data/COVID/masks\COVID-2464.png,COVID,COVID,1,1,1.0
94,../data/COVID/images\COVID-1083.png,../data/COVID/masks\COVID-1083.png,COVID,COVID,1,1,1.0
5366,../data/Lung_Opacity/images\Lung_Opacity-2574.png,../data/Lung_Opacity/masks\Lung_Opacity-2574.png,Lung_Opacity,Lung_Opacity,0,0,0.0
14828,../data/Normal/images\Normal-5505.png,../data/Normal/masks\Normal-5505.png,Normal,Normal,0,0,0.0
1698,../data/COVID/images\COVID-2527.png,../data/COVID/masks\COVID-2527.png,COVID,COVID,1,1,1.0
15058,../data/Normal/images\Normal-5712.png,../data/Normal/masks\Normal-5712.png,Normal,Normal,0,0,0.32
2794,../data/COVID/images\COVID-3513.png,../data/COVID/masks\COVID-3513.png,COVID,COVID,1,1,1.0
1050,../data/COVID/images\COVID-1944.png,../data/COVID/masks\COVID-1944.png,COVID,COVID,1,1,0.99
370,../data/COVID/images\COVID-1331.png,../data/COVID/masks\COVID-1331.png,COVID,COVID,1,1,1.0
2770,../data/COVID/images\COVID-3492.png,../data/COVID/masks\COVID-3492.png,COVID,COVID,1,1,1.0
9246,../data/Lung_Opacity/images\Lung_Opacity-655.png,../data/Lung_Opacity/masks\Lung_Opacity-655.png,Lung_Opacity,Lung_Opacity,0,0,0.0
3125,../data/COVID/images\COVID-557.png,../data/COVID/masks\COVID-557.png,COVID,COVID,1,1,0.89
8167,../data/Lung_Opacity/images\Lung_Opacity-5095.png,../data/Lung_Opacity/masks\Lung_Opacity-5095.png,Lung_Opacity,Lung_Opacity,0,0,0.04
17779,../data/Normal/images\Normal-8161.png,../data/Normal/masks\Normal-8161.png,Normal,Normal,0,0,0.04
2966,../data/COVID/images\COVID-413.png,../data/COVID/masks\COVID-413.png,COVID,COVID,1,1,1.0
2567,../data/COVID/images\COVID-3309.png,../data/COVID/masks\COVID-3309.png,COVID,COVID,1,1,0.98
2353,../data/COVID/images\COVID-3116.png,../data/COVID/masks\COVID-3116.png,COVID,COVID,1,1,0.93
17529,../data/Normal/images\Normal-7937.png,../data/Normal/masks\Normal-7937.png,Normal,Normal,0,1,0.96
182,../data/COVID/images\COVID-1162.png,../data/COVID/masks\COVID-1162.png,COVID,COVID,1,1,1.0
1539,../data/COVID/images\COVID-2384.png,../data/COVID/masks\COVID-2384.png,COVID,COVID,1,1,1.0
521,../data/COVID/images\COVID-1468.png,../data/COVID/masks\COVID-1468.png,COVID,COVID,1,1,1.0
4042,../data/Lung_Opacity/images\Lung_Opacity-1382.png,../data/Lung_Opacity/masks\Lung_Opacity-1382.png,Lung_Opacity,Lung_Opacity,0,1,1.0
1932,../data/COVID/images\COVID-2738.png,../data/COVID/masks\COVID-2738.png,COVID,COVID,1,1,0.99
8738,../data/Lung_Opacity/images\Lung_Opacity-5609.png,../data/Lung_Opacity/masks\Lung_Opacity-5609.png,Lung_Opacity,Lung_Opacity,0,0,0.0
647,../data/COVID/images\COVID-1581.png,../data/COVID/masks\COVID-1581.png,COVID,COVID,1,1,1.0
175,../data/COVID/images\COVID-1156.png,../data/COVID/masks\COVID-1156.png,COVID,COVID,1,1,1.0
8201,../data/Lung_Opacity/images\Lung_Opacity-5125.png,../data/Lung_Opacity/masks\Lung_Opacity-5125.png,Lung_Opacity,Lung_Opacity,0,0,0.04
11600,../data/Normal/images\Normal-260.png,../data/Normal/masks\Normal-260.png,Normal,Normal,0,0,0.0
2478,../data/COVID/images\COVID-3229.png,../data/COVID/masks\COVID-3229.png,COVID,COVID,1,1,1.0
1620,../data/COVID/images\COVID-2457.png,../data/COVID/masks\COVID-2457.png,COVID,COVID,1,0,0.15
1721,../data/COVID/images\COVID-2548.png,../data/COVID/masks\COVID-2548.png,COVID,COVID,1,1,0.99
3265,../data/COVID/images\COVID-683.png,../data/COVID/masks\COVID-683.png,COVID,COVID,1,1,0.96
1993,../data/COVID/images\COVID-2793.png,../data/COVID/masks\COVID-2793.png,COVID,COVID,1,1,1.0
8715,../data/Lung_Opacity/images\Lung_Opacity-5589.png,../data/Lung_Opacity/masks\Lung_Opacity-5589.png,Lung_Opacity,Lung_Opacity,0,0,0.03
5414,../data/Lung_Opacity/images\Lung_Opacity-2617.png,../data/Lung_Opacity/masks\Lung_Opacity-2617.png,Lung_Opacity,Lung_Opacity,0,0,0.05
423,../data/COVID/images\COVID-138.png,../data/COVID/masks\COVID-138.png,COVID,COVID,1,1,0.91
969,../data/COVID/images\COVID-1871.png,../data/COVID/masks\COVID-1871.png,COVID,COVID,1,1,0.97
19800,../data/Normal/images\Normal-9981.png,../data/Normal/masks\Normal-9981.png,Normal,Normal,0,0,0.0
3089,../data/COVID/images\COVID-524.png,../data/COVID/masks\COVID-524.png,COVID,COVID,1,1,1.0
9160,../data/Lung_Opacity/images\Lung_Opacity-599.png,../data/Lung_Opacity/masks\Lung_Opacity-599.png,Lung_Opacity,Lung_Opacity,0,0,0.0
1380,../data/COVID/images\COVID-2240.png,../data/COVID/masks\COVID-2240.png,COVID,COVID,1,1,1.0
6393,../data/Lung_Opacity/images\Lung_Opacity-3499.png,../data/Lung_Opacity/masks\Lung_Opacity-3499.png,Lung_Opacity,Lung_Opacity,0,0,0.0
17109,../data/Normal/images\Normal-7559.png,../data/Normal/masks\Normal-7559.png,Normal,Normal,0,0,0.0
226,../data/COVID/images\COVID-1201.png,../data/COVID/masks\COVID-1201.png,COVID,COVID,1,1,0.74
1162,../data/COVID/images\COVID-2044.png,../data/COVID/masks\COVID-2044.png,COVID,COVID,1,1,0.99
1941,../data/COVID/images\COVID-2746.png,../data/COVID/masks\COVID-2746.png,COVID,COVID,1,1,1.0
2048,../data/COVID/images\COVID-2842.png,../data/COVID/masks\COVID-2842.png,COVID,COVID,1,1,1.0
2129,../data/COVID/images\COVID-2915.png,../data/COVID/masks\COVID-2915.png,COVID,COVID,1,1,1.0
4417,../data/Lung_Opacity/images\Lung_Opacity-172.png,../data/Lung_Opacity/masks\Lung_Opacity-172.png,Lung_Opacity,Lung_Opacity,0,0,0.0
21087,../data/Viral Pneumonia/images\Viral Pneumonia-929.png,../data/Viral Pneumonia/masks\Viral Pneumonia-929.png,Viral Pneumonia,Viral Pneumonia,0,0,0.0
2324,../data/COVID/images\COVID-3090.png,../data/COVID/masks\COVID-3090.png,COVID,COVID,1,1,1.0
136,../data/COVID/images\COVID-1120.png,../data/COVID/masks\COVID-1120.png,COVID,COVID,1,1,1.0
652,../data/COVID/images\COVID-1586.png,../data/COVID/masks\COVID-1586.png,COVID,COVID,1,1,1.0
2566,../data/COVID/images\COVID-3308.png,../data/COVID/masks\COVID-3308.png,COVID,COVID,1,1,0.82
5231,../data/Lung_Opacity/images\Lung_Opacity-2452.png,../data/Lung_Opacity/masks\Lung_Opacity-2452.png,Lung_Opacity,Lung_Opacity,0,0,0.0
15628,../data/Normal/images\Normal-6225.png,../data/Normal/masks\Normal-6225.png,Normal,Normal,0,0,0.04
934,../data/COVID/images\COVID-184.png,../data/COVID/masks\COVID-184.png,COVID,COVID,1,1,1.0
2322,../data/COVID/images\COVID-3089.png,../data/COVID/masks\COVID-3089.png,COVID,COVID,1,1,0.68
3603,../data/COVID/images\COVID-988.png,../data/COVID/masks\COVID-988.png,COVID,COVID,1,1,0.74
13714,../data/Normal/images\Normal-4502.png,../data/Normal/masks\Normal-4502.png,Normal,Normal,0,0,0.01
4787,../data/Lung_Opacity/images\Lung_Opacity-2052.png,../data/Lung_Opacity/masks\Lung_Opacity-2052.png,Lung_Opacity,Lung_Opacity,0,0,0.0
20924,../data/Viral Pneumonia/images\Viral Pneumonia-782.png,../data/Viral Pneumonia/masks\Viral Pneumonia-782.png,Viral Pneumonia,Viral Pneumonia,0,1,0.48
9648,../data/Normal/images\Normal-10015.png,../data/Normal/masks\Normal-10015.png,Normal,Normal,0,0,0.0
199,../data/COVID/images\COVID-1178.png,../data/COVID/masks\COVID-1178.png,COVID,COVID,1,1,1.0
17654,../data/Normal/images\Normal-8049.png,../data/Normal/masks\Normal-8049.png,Normal,Normal,0,0,0.0
20242,../data/Viral Pneumonia/images\Viral Pneumonia-168.png,../data/Viral Pneumonia/masks\Viral Pneumonia-168.png,Viral Pneumonia,Viral Pneumonia,0,0,0.0
2210,../data/COVID/images\COVID-2989.png,../data/COVID/masks\COVID-2989.png,COVID,COVID,1,1,1.0
6719,../data/Lung_Opacity/images\Lung_Opacity-3792.png,../data/Lung_Opacity/masks\Lung_Opacity-3792.png,Lung_Opacity,Lung_Opacity,0,0,0.0
4494,../data/Lung_Opacity/images\Lung_Opacity-179.png,../data/Lung_Opacity/masks\Lung_Opacity-179.png,Lung_Opacity,Lung_Opacity,0,0,0.0
17641,../data/Normal/images\Normal-8037.png,../data/Normal/masks\Normal-8037.png,Normal,Normal,0,0,0.0
13305,../data/Normal/images\Normal-4134.png,../data/Normal/masks\Normal-4134.png,Normal,Normal,0,0,0.0
15851,../data/Normal/images\Normal-6426.png,../data/Normal/masks\Normal-6426.png,Normal,Normal,0,0,0.37
15366,../data/Normal/images\Normal-5990.png,../data/Normal/masks\Normal-5990.png,Normal,Normal,0,0,0.02
3023,../data/COVID/images\COVID-465.png,../data/COVID/masks\COVID-465.png,COVID,COVID,1,1,1.0
8231,../data/Lung_Opacity/images\Lung_Opacity-5152.png,../data/Lung_Opacity/masks\Lung_Opacity-5152.png,Lung_Opacity,Lung_Opacity,0,0,0.0
19332,../data/Normal/images\Normal-956.png,../data/Normal/masks\Normal-956.png,Normal,Normal,0,0,0.0
1879,../data/COVID/images\COVID-2690.png,../data/COVID/masks\COVID-2690.png,COVID,COVID,1,1,0.97
2972,../data/COVID/images\COVID-419.png,../data/COVID/masks\COVID-419.png,COVID,COVID,1,1,0.7
1514,../data/COVID/images\COVID-2361.png,../data/COVID/masks\COVID-2361.png,COVID,COVID,1,1,0.75
3918,../data/Lung_Opacity/images\Lung_Opacity-1270.png,../data/Lung_Opacity/masks\Lung_Opacity-1270.png,Lung_Opacity,Lung_Opacity,0,1,0.67
1608,../data/COVID/images\COVID-2446.png,../data/COVID/masks\COVID-2446.png,COVID,COVID,1,1,1.0
2242,../data/COVID/images\COVID-3016.png,../data/COVID/masks\COVID-3016.png,COVID,COVID,1,1,0.98
1498,../data/COVID/images\COVID-2347.png,../data/COVID/masks\COVID-2347.png,COVID,COVID,1,1,1.0
2668,../data/COVID/images\COVID-340.png,../data/COVID/masks\COVID-340.png,COVID,COVID,1,0,0.0
994,../data/COVID/images\COVID-1894.png,../data/COVID/masks\COVID-1894.png,COVID,COVID,1,1,1.0
20621,../data/Viral Pneumonia/images\Viral Pneumonia-509.png,../data/Viral Pneumonia/masks\Viral Pneumonia-509.png,Viral Pneumonia,Viral Pneumonia,0,0,0.0
2983,../data/COVID/images\COVID-429.png,../data/COVID/masks\COVID-429.png,COVID,COVID,1,0,0.11
3521,../data/COVID/images\COVID-913.png,../data/COVID/masks\COVID-913.png,COVID,COVID,1,1,1.0
10489,../data/Normal/images\Normal-160.png,../data/Normal/masks\Normal-160.png,Normal,Normal,0,0,0.0
17801,../data/Normal/images\Normal-8181.png,../data/Normal/masks\Normal-8181.png,Normal,Normal,0,0,0.06
9132,../data/Lung_Opacity/images\Lung_Opacity-5964.png,../data/Lung_Opacity/masks\Lung_Opacity-5964.png,Lung_Opacity,Lung_Opacity,0,0,0.0
523,../data/COVID/images\COVID-147.png,../data/COVID/masks\COVID-147.png,COVID,COVID,1,1,1.0
12693,../data/Normal/images\Normal-3584.png,../data/Normal/masks\Normal-3584.png,Normal,Normal,0,0,0.0
3878,../data/Lung_Opacity/images\Lung_Opacity-1234.png,../data/Lung_Opacity/masks\Lung_Opacity-1234.png,Lung_Opacity,Lung_Opacity,0,0,0.01
3943,../data/Lung_Opacity/images\Lung_Opacity-1293.png,../data/Lung_Opacity/masks\Lung_Opacity-1293.png,Lung_Opacity,Lung_Opacity,0,0,0.02
16912,../data/Normal/images\Normal-7381.png,../data/Normal/masks\Normal-7381.png,Normal,Normal,0,0,0.0
1566,../data/COVID/images\COVID-2408.png,../data/COVID/masks\COVID-2408.png,COVID,COVID,1,1,1.0
17364,../data/Normal/images\Normal-7789.png,../data/Normal/masks\Normal-7789.png,Normal,Normal,0,0,0.0
1577,../data/COVID/images\COVID-2418.png,../data/COVID/masks\COVID-2418.png,COVID,COVID,1,1,0.79
15616,../data/Normal/images\Normal-6214.png,../data/Normal/masks\Normal-6214.png,Normal,Normal,0,1,0.61
3596,../data/COVID/images\COVID-981.png,../data/COVID/masks\COVID-981.png,COVID,COVID,1,1,1.0
7105,../data/Lung_Opacity/images\Lung_Opacity-4139.png,../data/Lung_Opacity/masks\Lung_Opacity-4139.png,Lung_Opacity,Lung_Opacity,0,0,0.0
3335,../data/COVID/images\COVID-746.png,../data/COVID/masks\COVID-746.png,COVID,COVID,1,1,1.0
3042,../data/COVID/images\COVID-482.png,../data/COVID/masks\COVID-482.png,COVID,COVID,1,0,0.2
14265,../data/Normal/images\Normal-5.png,../data/Normal/masks\Normal-5.png,Normal,Normal,0,0,0.0
10819,../data/Normal/images\Normal-1898.png,../data/Normal/masks\Normal-1898.png,Normal,Normal,0,0,0.0
1339,../data/COVID/images\COVID-2203.png,../data/COVID/masks\COVID-2203.png,COVID,COVID,1,1,1.0
3177,../data/COVID/images\COVID-603.png,../data/COVID/masks\COVID-603.png,COVID,COVID,1,1,0.63
4597,../data/Lung_Opacity/images\Lung_Opacity-1882.png,../data/Lung_Opacity/masks\Lung_Opacity-1882.png,Lung_Opacity,Lung_Opacity,0,0,0.35
8585,../data/Lung_Opacity/images\Lung_Opacity-5471.png,../data/Lung_Opacity/masks\Lung_Opacity-5471.png,Lung_Opacity,Lung_Opacity,0,0,0.0
4458,../data/Lung_Opacity/images\Lung_Opacity-1757.png,../data/Lung_Opacity/masks\Lung_Opacity-1757.png,Lung_Opacity,Lung_Opacity,0,0,0.0
53,../data/COVID/images\COVID-1046.png,../data/COVID/masks\COVID-1046.png,COVID,COVID,1,1,1.0
8010,../data/Lung_Opacity/images\Lung_Opacity-4954.png,../data/Lung_Opacity/masks\Lung_Opacity-4954.png,Lung_Opacity,Lung_Opacity,0,1,0.38
690,../data/COVID/images\COVID-162.png,../data/COVID/masks\COVID-162.png,COVID,COVID,1,1,0.74
19508,../data/Normal/images\Normal-9718.png,../data/Normal/masks\Normal-9718.png,Normal,Normal,0,0,0.0
1134,../data/COVID/images\COVID-2019.png,../data/COVID/masks\COVID-2019.png,COVID,COVID,1,1,1.0
18561,../data/Normal/images\Normal-8866.png,../data/Normal/masks\Normal-8866.png,Normal,Normal,0,0,0.13
3514,../data/COVID/images\COVID-907.png,../data/COVID/masks\COVID-907.png,COVID,COVID,1,1,1.0
17460,../data/Normal/images\Normal-7875.png,../data/Normal/masks\Normal-7875.png,Normal,Normal,0,0,0.22
